Suggested,Suggested,module,MageBig_AjaxSearch
"Product Name","Product Name",module,MageBig_AjaxSearch
SKU,SKU,module,MageBig_AjaxSearch
"Product Image","Product Image",module,MageBig_AjaxSearch
"Reviews Rating","Reviews Rating",module,MageBig_AjaxSearch
Price,Price,module,MageBig_AjaxSearch
Search,Search,module,MageBig_AjaxSearch
"I'm looking for...","I'm looking for...",module,MageBig_AjaxSearch
"Something wrong, please try again","Something wrong, please try again",module,MageBig_Ajaxcompare
"has been added to Comparison List","has been added to Comparison List",module,MageBig_Ajaxcompare
"View Comparison List","View Comparison List",module,MageBig_Ajaxcompare
"You can't login right now.","You can't login right now.",module,MageBig_Ajaxwishlist
"Please log in before adding product to your Wish List.","Please log in before adding product to your Wish List.",module,MageBig_Ajaxwishlist
"Log in","Log in",module,MageBig_Ajaxwishlist
"has been added to your Wish List","has been added to your Wish List",module,MageBig_Ajaxwishlist
"View Wish List","View Wish List",module,MageBig_Ajaxwishlist
Reset,Reset,module,MageBig_MbFrame
"Save Config","Save Config",module,MageBig_MbFrame
[GLOBAL],[GLOBAL],module,MageBig_MbFrame
[WEBSITE],[WEBSITE],module,MageBig_MbFrame
"[STORE VIEW]","[STORE VIEW]",module,MageBig_MbFrame
Configuration,Configuration,module,MageBig_MbFrame
System,System,module,MageBig_MbFrame
"You have saved the configuration.","You have saved the configuration.",module,MageBig_MbFrame
"Something went wrong while saving this configuration:","Something went wrong while saving this configuration:",module,MageBig_MbFrame
"Import Success.","Import Success.",module,MageBig_MbFrame
"You have activated the theme.","You have activated the theme.",module,MageBig_MbFrame
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2",module,MageBig_MbFrame
Categories,Categories,module,MageBig_MbFrame
Category,Category,module,MageBig_MbFrame
Vertical,Vertical,module,MageBig_MbFrame
Horizontal,Horizontal,module,MageBig_MbFrame
"Login was not successful.","Login was not successful.",module,MageBig_MbFrame
Activated,Activated,module,MageBig_MbFrame
"Theme Configuration","Theme Configuration",module,MageBig_MbFrame
"Import Content","Import Content",module,MageBig_MbFrame
Activate,Activate,module,MageBig_MbFrame
"The content will not be overwritten if they exist","The content will not be overwritten if they exist",module,MageBig_MbFrame
"Import Blocks/Pages/Widgets","Import Blocks/Pages/Widgets",module,MageBig_MbFrame
Or,Or,module,MageBig_MbFrame
"The content will be overwritten if they exist","The content will be overwritten if they exist",module,MageBig_MbFrame
"Override Blocks/Pages/Widgets","Override Blocks/Pages/Widgets",module,MageBig_MbFrame
"This email address is already subscribed.","This email address is already subscribed.",module,MageBig_NewsPopup
"Something went wrong with the subscription.","Something went wrong with the subscription.",module,MageBig_NewsPopup
"This email address is already assigned to another user.","This email address is already assigned to another user.",module,MageBig_NewsPopup
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.",module,MageBig_NewsPopup
"Please enter a valid email address.","Please enter a valid email address.",module,MageBig_NewsPopup
"The confirmation request has been sent.","The confirmation request has been sent.",module,MageBig_NewsPopup
"Thank you for your subscription.","Thank you for your subscription.",module,MageBig_NewsPopup
"Page Not Found","Page Not Found",module,MageBig_NewsPopup
"Invalid Form Key. Please refresh the page.","Invalid Form Key. Please refresh the page.",module,MageBig_NewsPopup
"Enter your email address","Enter your email address",module,MageBig_NewsPopup
Subscribe,Subscribe,module,MageBig_NewsPopup
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:",module,MageBig_NewsPopup
"Don’t show this popup","Don’t show this popup",module,MageBig_NewsPopup
"Enter your email here...","Enter your email here...",module,MageBig_NewsPopup
"Quick View","Quick View",module,MageBig_QuickView
"More Information","More Information",module,MageBig_QuickView
label,label,module,MageBig_QuickView
"Choose an Option...","Choose an Option...",module,MageBig_QuickView
"see details...","see details...",module,MageBig_QuickView
"Save Brand","Save Brand",module,MageBig_Shopbybrand
"Save and Continue Edit","Save and Continue Edit",module,MageBig_Shopbybrand
"Edit '%1'","Edit '%1'",module,MageBig_Shopbybrand
"Edit Brand","Edit Brand",module,MageBig_Shopbybrand
"Brand Information","Brand Information",module,MageBig_Shopbybrand
General,General,module,MageBig_Shopbybrand
"General Information","General Information",module,MageBig_Shopbybrand
"Brand Label","Brand Label",module,MageBig_Shopbybrand
Active,Active,module,MageBig_Shopbybrand
Yes,Yes,module,MageBig_Shopbybrand
No,No,module,MageBig_Shopbybrand
Logo,Logo,module,MageBig_Shopbybrand
"Is Featured","Is Featured",module,MageBig_Shopbybrand
Description,Description,module,MageBig_Shopbybrand
"Search Engine Optimization","Search Engine Optimization",module,MageBig_Shopbybrand
"URL Key","URL Key",module,MageBig_Shopbybrand
"Meta Title","Meta Title",module,MageBig_Shopbybrand
"Meta Description","Meta Description",module,MageBig_Shopbybrand
"Meta Keyword","Meta Keyword",module,MageBig_Shopbybrand
"Insert Variable...","Insert Variable...",module,MageBig_Shopbybrand
[GLOBAL],[GLOBAL],module,MageBig_Shopbybrand
"[STORE VIEW]","[STORE VIEW]",module,MageBig_Shopbybrand
"Choose Image","Choose Image",module,MageBig_Shopbybrand
"Upload Images","Upload Images",module,MageBig_Shopbybrand
"Our Brands","Our Brands",module,MageBig_Shopbybrand
Home,Home,module,MageBig_Shopbybrand
"Go to Home Page","Go to Home Page",module,MageBig_Shopbybrand
"Something went wrong while clearing image cache.","Something went wrong while clearing image cache.",module,MageBig_Shopbybrand
"Manage Brands","Manage Brands",module,MageBig_Shopbybrand
"Wrong brand specified.","Wrong brand specified.",module,MageBig_Shopbybrand
"You saved this brand.","You saved this brand.",module,MageBig_Shopbybrand
"Something went wrong while saving the label.","Something went wrong while saving the label.",module,MageBig_Shopbybrand
Enabled,Enabled,module,MageBig_Shopbybrand
Disabled,Disabled,module,MageBig_Shopbybrand
ASC,ASC,module,MageBig_Shopbybrand
DESC,DESC,module,MageBig_Shopbybrand
"Attribute Option Sort Order","Attribute Option Sort Order",module,MageBig_Shopbybrand
"%1 doesn't extends \Magento\Framework\Model\AbstractModel","%1 doesn't extends \Magento\Framework\Model\AbstractModel",module,MageBig_Shopbybrand
"Attribute '%1' is locked. %2","Attribute '%1' is locked. %2",module,MageBig_Shopbybrand
Edit,Edit,module,MageBig_Shopbybrand
Preview,Preview,module,MageBig_Shopbybrand
"Use Default Value","Use Default Value",module,MageBig_Shopbybrand
All,All,module,MageBig_Shopbybrand
"0 - 9","0 - 9",module,MageBig_Shopbybrand
"%1 products","%1 products",module,MageBig_Shopbybrand
"%1 product","%1 product",module,MageBig_Shopbybrand
"There is no brand matching your select","There is no brand matching your select",module,MageBig_Shopbybrand
"Search Brand","Search Brand",module,MageBig_Shopbybrand
"Search brand here","Search brand here",module,MageBig_Shopbybrand
"Now Shopping by","Now Shopping by",module,MageBig_Shopbybrand
Previous,Previous,module,MageBig_Shopbybrand
Remove,Remove,module,MageBig_Shopbybrand
"Remove This Item","Remove This Item",module,MageBig_Shopbybrand
"Shop By","Shop By",module,MageBig_Shopbybrand
"Clear All","Clear All",module,MageBig_Shopbybrand
"Shopping Options","Shopping Options",module,MageBig_Shopbybrand
Hot,Hot,module,MageBig_SmartMenu
New,New,module,MageBig_SmartMenu
Sale,Sale,module,MageBig_SmartMenu
Trending,Trending,module,MageBig_SmartMenu
"1 column","1 column",module,MageBig_SmartMenu
"2 columns","2 columns",module,MageBig_SmartMenu
"3 columns","3 columns",module,MageBig_SmartMenu
"4 columns","4 columns",module,MageBig_SmartMenu
"5 columns","5 columns",module,MageBig_SmartMenu
"6 columns","6 columns",module,MageBig_SmartMenu
Left,Left,module,MageBig_SmartMenu
Right,Right,module,MageBig_SmartMenu
Center,Center,module,MageBig_SmartMenu
"Fullwidth - Mega Style","Fullwidth - Mega Style",module,MageBig_SmartMenu
